technology,month,day,hour,generation_mwh
Carbon,2,7,7,
Carbon,2,7,8,
Carbon,2,7,9,
Carbon,2,7,10,
Carbon,2,7,11,
Carbon,2,7,12,
Carbon,2,7,13,
Carbon,2,7,14,
Carbon,2,7,15,
Carbon,2,7,16,
Carbon,2,7,17,
Carbon,2,7,18,
Carbon,2,7,19,
Carbon,2,7,20,
Carbon,2,7,21,
Carbon,2,7,22,
Carbon,2,7,23,
Carbon,2,8,0,
Carbon,2,8,1,
Carbon,2,8,2,
Carbon,2,8,3,
Carbon,2,8,4,
Carbon,2,8,5,
Carbon,2,8,6,50.0
Carbon,2,8,7,164.5
Carbon,2,8,8,250.0
Carbon,2,8,9,260.0
Carbon,2,8,10,250.0
Carbon,2,8,11,250.0
Carbon,2,8,12,250.0
Carbon,2,8,13,250.0
Carbon,2,8,14,250.0
Carbon,2,8,15,250.0
Carbon,2,8,16,250.0
Carbon,2,8,17,250.0
Carbon,2,8,18,250.0
Carbon,2,8,19,250.0
Carbon,2,8,20,260.0
Carbon,2,8,21,255.0
Carbon,2,8,22,255.0
